variable,coefficient,p_values,significance
abl,-0.05669074214834691,0.34799617089888635,
accept,0.19433683521511086,0.002003990344106311,**
accord,0.12745435998658003,0.019359988677823296,*
account,-0.02762932153060486,0.6076348967426336,
accus,0.05515687417018326,0.36445863557766844,
across,-0.06562702366472555,0.35303867673806955,
act,0.04559902549444692,0.41602688999285475,
action,0.04131443383483978,0.48020634085002456,
activ,0.20972898868634657,0.0008327661924412965,***
actual,0.041448128103354666,0.43573903477136955,
ad,0.05153973391918602,0.4029655658445058,
addit,0.12710160881388877,0.065331090006732,.
address,-0.013423912070341692,0.7358963662306124,
administr,0.015297561120339559,0.6547670319737773,
agenc,0.08313373650716212,0.1443835701533929,
ago,0.2684964776228391,0.006177891965843097,**
agre,-0.02480434079306245,0.6380087529267318,
aid,-0.10164521577468082,0.08624811347267966,.
alli,-0.11404195778850162,0.0941684686669641,.
allow,0.07009263457543344,0.1928036807599609,
almost,-0.015735598077056392,0.6795433446550445,
along,0.0,0.9986823983507125,
alreadi,-0.2823451141737575,1.1542938386175765e-05,***
also,-0.10455292015761987,0.11793612989449904,
alway,-0.041246606273600946,0.4191335926096392,
america,0.08162360685188065,0.14973611361522013,
american,-0.06694266499055854,0.1739062731356189,
among,-0.15954341673988298,0.020424727327996568,*
announc,-0.032539050349939,0.6102042742325268,
anoth,0.034633899066472226,0.5826271266586937,
answer,0.052196682718513916,0.38624607821212187,
anti,0.17107286757776458,0.005813231995856749,**
anyon,-0.01336142648598966,0.8019828416395409,
anyth,0.16131562743024208,0.01821928370323774,*
appear,0.054549716486122224,0.34193430714356654,
area,-0.030434436677611983,0.5044378325778123,
argu,-0.13540550876784954,0.05592736080633287,.
arm,0.1881859716225389,0.001164314649521463,**
around,0.15779342534256227,0.009104930342561011,**
articl,0.44358161022941983,1.3527442362741782e-09,***
ask,0.15019328241963562,0.015708407997264827,*
associ,-0.14085498105417835,0.05178433184463346,.
attack,-0.04515667492151339,0.4447350047946982,
attempt,0.1066195720165382,0.12144631539459581,
author,0.0,0.9408107740895215,
away,-0.013772991600241884,0.7932222550868987,
back,0.0,0.8919208583679025,
bad,0.033871622126918376,0.5413944385472519,
barack,0.04305692325235937,0.7109883895559901,
barack obama,0.0,0.8328359584599316,
base,-0.09139319657014201,0.17005741231479843,
becom,0.012359947943279796,0.8756988927953941,
began,0.017906909672295974,0.7315207727543129,
begin,-0.1297347923569294,0.05088442617168154,.
behind,0.028147784421607834,0.6154774659077966,
believ,-0.0063648689348822915,0.976022209587331,
berni,-0.3443662495992154,0.0048855641766340635,**
best,0.11100659424625849,0.075129799581206,.
better,-0.08147116508786802,0.1797262216193859,
big,0.018966170856857183,0.7890772042815687,
bill,0.0676603179667009,0.29686958242803074,
black,0.008734892135089158,0.7435749243718954,
break,0.1326787136208773,0.06300982420801352,.
bring,0.037095297327381274,0.4524763557348941,
build,-0.08129714617146847,0.1638113024161747,
bush,-0.12976459796127346,0.03343368974092898,*
busi,-0.12292955385553073,0.039692403476598255,*
call,-0.08396777768652852,0.142836424039147,
came,-0.12110319361346897,0.07518321910635,.
campaign,-0.15005261228518227,0.017079338235720522,*
candid,-0.20705396142599783,0.009264131492870325,**
cannot,0.09940681427602223,0.11459489916732296,
care,-0.029989380178095177,0.5298891308104787,
carri,0.07709915732620685,0.18807978536077552,
case,-0.05378346737405255,0.2844382479410552,
caus,-0.051454667821624334,0.26893688237283575,
center,-0.059922842263882524,0.34062426677654756,
certain,-0.08310070054222955,0.20402038427051128,
challeng,-0.1456981411718212,0.05141929396557388,.
chanc,-0.041876718410754875,0.5136682935310498,
chang,0.03147293896183224,0.4546820888113604,
charg,0.07094921884246282,0.2322185286179438,
chief,-0.05567765279337939,0.36684000825982743,
children,0.029486853135348153,0.5705972390737801,
choic,0.0072838772704301325,0.8188894371629574,
citi,0.11815072496853438,0.016913851195414203,*
citizen,0.01863966211930128,0.7300954841219407,
claim,-0.048504806468223124,0.3460118363836743,
clear,0.009694041157849057,0.7879455407086735,
clinton,-0.0251421017613312,0.6066313704032467,
close,0.0511082797112959,0.3126315831863602,
cnn,-0.253012963409734,5.661934925092752e-05,***
come,0.12116341550477085,0.045968685306146076,*
comment,0.23429381758481393,8.611135554415343e-05,***
commit,0.08351764328870835,0.1903941980856999,
committe,-0.1386449295789666,0.028410722398298983,*
common,0.07770351191887347,0.20790881606847378,
communiti,0.033052439127605894,0.5271099801876691,
compani,0.11331023238998345,0.03932230546343562,*
complet,0.175478690371245,0.009854567458827037,**
concern,0.17140981460309962,0.007313095751014335,**
congress,-0.01053561840635906,0.8361618243316413,
conserv,-0.42474939564577047,2.9641644162002155e-10,***
consid,-0.026046709053684267,0.6135282090449568,
continu,0.08571562302287924,0.11435275101182511,
contribut,-0.1609735622930199,0.04412518262836996,*
control,0.0,0.962509390615929,
convent,-0.20997039423620784,0.006558865845800313,**
cost,-0.028368062884955133,0.6076625036099602,
