variable,coefficient,p_values,significance
america,0.05150734684732005,0.2317345341255399,
american,0.03325623849360681,0.43874903812501764,
attack,-0.16985718763647623,0.0004882426938133423,***
back,-0.018884508267731952,0.682812967650877,
berni,-0.15996249037964666,0.0546354839106056,.
big,-0.0844233661665637,0.1217868154609488,
bill,-0.13227002764705675,0.01934301937971976,*
black,0.13673392730661527,0.007168294538648725,**
break,0.44377571105787944,1.4549881718637628e-07,***
bush,-0.3322249235329733,2.350623360024571e-05,***
call,0.06400008507333178,0.1756742043657864,
campaign,-0.11358249301514728,0.010026695914879143,*
candid,-0.1758455804737222,0.008455947408223256,**
chang,-0.054424865406409575,0.2662621077339564,
clinton,-0.10582597904193652,0.010517018131105666,*
comment,0.5007370662912286,3.157911500288597e-11,***
could,-0.05692336979167367,0.2432819983753658,
court,-0.0421010175355286,0.5908977016974318,
cruz,-0.96336002240022,0.00019208173596639333,***
day,0.15930508308504418,0.002806651932353583,**
deal,-0.19955806996382047,0.002543726641174698,**
debat,-0.4333504944498685,4.581595129609984e-08,***
democrat,-0.12836407910396672,0.011129062791100425,*
donald,0.033040037173440125,0.5276627324277239,
donald trump,-0.23134773608756465,0.13536989186790338,
elect,0.22700674346979766,7.619228748624373e-09,***
email,0.05201648642356809,0.2843626819387354,
fbi,0.32475928567310397,5.0817690693079216e-08,***
fight,-0.08277359367275607,0.14970036079294963,
first,-0.08549183156852745,0.10687017181946824,
forc,0.03699827453470675,0.48998409502117524,
get,0.04995841199882328,0.2717200293804133,
go,0.08213471927740502,0.12723190724584293,
gop,-0.4757662278183063,1.952905827802431e-13,***
hillari,0.5492841478736037,4.527693444297677e-22,***
hillari clinton,-0.3660482217596569,1.817803989486543e-08,***
hous,-0.20915495288907515,0.007150465484944851,**
investig,0.22248461631577218,0.003199869492721068,**
iran,-0.3451738236463737,3.598922438768516e-06,***
isi,-0.11087229329810587,0.015197446102663896,*
kill,0.09611958445658747,0.053354167566007644,.
like,0.012168401949394428,0.7668570527511338,
make,-0.005445625965105074,0.8489889962451302,
may,-0.08708474978207696,0.10123593949986848,
media,-0.022426797855119827,0.5953824433792237,
nation,0.07089198657080344,0.18961643706764997,
new,-0.046113894884598126,0.19520397177561455,
news,0.15423494765534118,0.0033069000075531176,**
obama,-0.34261072535486375,2.6269657525587067e-17,***
obamacar,-0.036694865387875066,0.5072638834750041,
one,0.05418671584644075,0.24903514777974978,
parti,-0.028883435596778122,0.5837425275304078,
paul,-0.060544641337531124,0.29234641598267486,
peopl,0.11646917417967212,0.04795443269440843,*
plan,-0.028488547382170132,0.547402802602536,
polic,-0.04248129756054882,0.34127485751898223,
polit,-0.10895563084389695,0.02082444155462581,*
poll,-0.14883355525388445,0.005476738392931892,**
presid,0.03400583232620828,0.40593765085398636,
presidenti,-0.15217366516531985,0.016845152338281797,*
protest,0.12432723252112288,0.015049864626295423,*
race,-0.11297686717014342,0.08238858932096983,.
report,0.03519481683403767,0.4046627387821542,
republican,-0.3204622284034419,1.644774818401819e-09,***
right,0.009736086411748968,0.7804041393949489,
rubio,-0.44373345219532423,0.0005932007886330997,***
run,-0.20669288228797647,0.0009614955406940126,***
russia,0.33632851649403206,1.4920262378731157e-10,***
russian,0.28872817427500935,1.2290231770882369e-05,***
sander,-0.47787665016659703,5.3547623256261725e-08,***
say,-0.06760776907082298,0.08875249291944999,.
shoot,-0.28506709324667256,1.75042070581531e-05,***
show,0.04708158411308058,0.3618215179795855,
state,-0.09273711267966114,0.02349012557129358,*
support,0.09517702087901042,0.045307717637769855,*
suprem,-0.31021850245135013,0.0034867083621334238,**
syria,-0.022130102133310438,0.6447911900012587,
take,-0.05197494016767066,0.3265325758099141,
terror,-0.18679215881210454,0.0008876312331286501,***
thing,-0.040928016490699576,0.4599323797427267,
time,0.10690377763290342,0.029699535680245345,*
top,0.05389488889021492,0.34116668501117764,
trump,-0.019729591594095045,0.5450244093813532,
us,0.07919367808022805,0.020078287157581535,*
use,0.11581091152272086,0.03579505201333183,*
vote,0.16718125876211284,0.00010905851551043933,***
voter,0.1257404794165217,0.012009979382672462,*
war,0.20954162380995772,4.6910001368276e-05,***
white,0.038834957402210504,0.5328098134215629,
white hous,-0.15804286035806647,0.16651132336730834,
wikileak,0.4722371207438594,1.3193089940499934e-06,***
win,0.005135203724838551,0.8786123151240246,
world,0.19262159265666368,0.0002528170436734808,***
year,0.17046618182052176,0.0003457425391497731,***
