variable,coefficient,p_values,significance
0,-1.1388341900260115,8.102884706842985e-21,***
1,0.396170113794569,0.0006018709393681636,***
2,-0.3082608769120408,0.006049392680476599,**
3,0.16482816486544924,0.12002876023296183,
4,-0.3256618902095096,0.004588808395854344,**
5,-0.10189146799896212,0.3437485049467752,
6,-0.09106968905747945,0.4277837804265803,
7,-0.23218567710490198,0.04127705701277836,*
8,0.9080648645599907,3.11525143347357e-14,***
9,0.13831942779632495,0.22452878526878695,
10,0.07872831989383781,0.4407161799144885,
11,0.0,0.9698524469116826,
12,0.2703198988405826,0.014845952950481568,*
13,0.2596206004009446,0.02849940955984967,*
14,0.057102781722148825,0.5225737186915953,
15,0.5001551732295952,2.8774001328275153e-05,***
16,-0.49517850550646575,1.861320398881265e-05,***
17,-0.06740788770105986,0.5004052312960997,
18,-0.5412691753125156,2.942129862517191e-06,***
19,-0.06375608272492286,0.48000361448812867,
20,-0.41339133599244726,0.0002753966451265415,***
21,-0.3423564910960016,0.0034466563490620464,**
22,0.755256042002073,4.633713255156406e-10,***
23,0.6082476111765903,4.0511200147582363e-07,***
24,0.28532962124426214,0.012615927043099388,*
25,-0.06296223238189368,0.5169678845006078,
26,0.4604292246735963,0.00010614762398952314,***
27,-1.1765438595761235,3.593181631019281e-22,***
28,-0.38217976381780566,0.0007194464456881923,***
29,-0.3987901216390442,0.0003483346285179742,***
30,-0.25216642705535347,0.03146504733205027,*
31,0.21959466948885975,0.04794100754275996,*
32,0.9899546399792931,3.928816553939012e-16,***
33,-0.1360900184266596,0.19598486141930527,
34,0.09858685383152349,0.31419789382107455,
35,0.0,0.9518261355836231,
36,0.42275814565115455,0.00031493147002884653,***
37,0.807803875854334,8.393525032379662e-12,***
38,0.7835416764937907,4.200799599367269e-11,***
39,-0.3713530179916715,0.0013617778629162367,**
40,-0.01470518791480886,0.758317944547182,
41,-0.10825450567700975,0.29555452021846296,
42,0.8932628279793253,1.5898655426551178e-12,***
43,-0.4576771993962475,8.09308260629824e-05,***
44,-0.056639004071092666,0.5195955009646155,
45,-0.052909009562790876,0.5780258004255194,
46,0.21011149230023884,0.05236921705029761,.
47,-0.5268187571409454,1.9085642302715187e-05,***
48,-0.19063135000076095,0.08364520080046636,.
49,0.002840813174657165,0.9004335979719205,
50,-0.647197856593841,1.071812208696316e-07,***
51,-0.45417995709525005,7.844964179382323e-05,***
52,-0.234989972290211,0.04134873078298658,*
53,-0.13252780887525586,0.2071575484623629,
54,0.12354548544939865,0.25954302723222467,
55,-0.05734889855252894,0.55361179696422,
56,-0.17961911254167004,0.1046390599957612,
57,-0.8740395253875897,7.324065564680393e-13,***
58,-0.04271175083833348,0.6398532358721296,
59,-0.8701379172092134,6.302230518674258e-13,***
60,-0.008272435470006303,0.8126565156480627,
61,-0.3585077656708863,0.0028329014616964073,**
62,0.22061641217358616,0.043552275130686456,*
63,0.17942777673995888,0.0869077091590407,.
64,-0.47897865120613553,5.352099588345849e-05,***
65,0.15907503533940975,0.12252318938756025,
66,0.035581905523757056,0.6261636795049843,
67,-0.15606307625004276,0.15708914621964234,
68,0.5191442407549063,8.924118404353997e-06,***
69,-0.9116469997938234,6.23123131032575e-14,***
70,-1.3583690408863554,1.0601019052188438e-25,***
71,0.27593963723597353,0.01612548312784988,*
72,0.07325388341732862,0.44660441358993275,
73,0.19880560948001172,0.06996089689380992,.
74,0.13793662998332226,0.19561249891276766,
75,0.20174861823299747,0.07439992259400306,.
76,0.6189413954794465,6.764929064947394e-08,***
77,-0.1905742016893858,0.10805042550490122,
78,0.0904418978559579,0.37630427285862256,
79,0.1387253833498685,0.2018351991841093,
80,0.047051943626182625,0.6347733309075323,
81,0.1677655567910342,0.12590163451702252,
82,0.40152148682704897,0.0008412397114412027,***
83,-0.004596359765758131,0.8986017650621557,
84,-0.8622378848363758,3.20106758915739e-12,***
85,1.0373031732405982,4.61276141530328e-17,***
86,0.4189173579317391,0.0004380920211743672,***
87,0.06662832271123512,0.4783749762780868,
88,0.32160084915241277,0.004731408320677358,**
89,0.6130148545801074,2.5238431625810404e-07,***
90,0.10394194889276401,0.3050783873634817,
91,0.28244567944101806,0.015977521590815422,*
92,-0.6550455251691557,1.574230276317388e-08,***
93,0.3231927207355204,0.005857618711963421,**
94,0.44177962849640645,0.0002259890039227312,***
95,-1.1189491482264218,2.276744118848135e-19,***
96,-0.43841876402971597,0.00013199835112027755,***
97,0.08651471524422948,0.45893512733343167,
98,0.0,0.9419849387994731,
99,0.6362890856007796,1.310659606291822e-07,***
100,0.17396191340627454,0.10170298968177569,
101,0.1849824974331372,0.10893039552043922,
102,0.16882735706438023,0.14893238757539978,
103,0.5046579380733713,1.3398883838508713e-05,***
104,0.36160082519619463,0.00232839051672902,**
105,-0.11279638840996305,0.295478977942605,
106,-0.15771006501221416,0.1512329985824128,
107,0.22974341687643163,0.040867287605396506,*
108,0.7042767799695816,5.808532344055823e-09,***
109,0.40580128903576373,0.00039159575154560435,***
110,0.06398178245384868,0.4825683451381946,
111,0.1349122330531669,0.22000329908606597,
112,-0.22102555190494688,0.0461728776424807,*
113,0.6721467491589268,2.2406440417175516e-08,***
114,0.3869415416514259,0.0008423315370299036,***
115,0.4490908048672851,0.00011956248087601813,***
116,0.6403683202304375,8.587914842451574e-08,***
117,-0.5642186694044262,9.422127788705951e-07,***
118,0.6179935483130047,8.460326522510201e-07,***
119,-0.018741406225655836,0.7595872347234575,
120,-0.44014534023834134,9.757632459738466e-05,***
121,-0.3133312106594389,0.006211156629698661,**
122,0.011253262357855336,0.8137401962335499,
123,0.793916025097591,2.4203354033044442e-11,***
124,-0.5237222281934184,1.5990677883540338e-05,***
125,0.6053447674769697,2.687215059343374e-07,***
126,0.2867151534444413,0.013087827313994613,*
