variable,coefficient,p_values,significance
0,-0.015147368077157466,0.7084110347761406,
1,0.03882936596172185,0.3789141159177515,
2,0.06617198958598698,0.14548318215677508,
3,-0.019557102517276798,0.6460359106179135,
4,-0.019564311035223544,0.6290443941489774,
5,-0.017629898394109413,0.6685770827706012,
6,0.09749256440032988,0.034663751154159726,*
7,0.014749205037722464,0.7093315367049133,
8,0.06748961764662638,0.13296978437122928,
9,-0.04985891060478666,0.2734113828928699,
10,-0.003990795872021346,0.9120614793871211,
11,-0.07870259294478829,0.08936097686095819,.
12,0.04417738367182084,0.3124039283481941,
13,-0.03305079997434609,0.44569112270639477,
14,0.0008301379749612934,0.9694427952323866,
15,-0.06766899657872566,0.14192342498715643,
16,-0.08775995639011863,0.058041422870110985,.
17,0.03234934513269757,0.45669615594308643,
18,-0.0800351677267646,0.08368280907204259,.
19,0.029352418891456136,0.5175721601347816,
20,0.07841475259579525,0.08920681755199604,.
21,0.0973571199522955,0.03747925818662237,*
22,0.0,0.9764392584649885,
23,-0.009943084574580518,0.8072324441563302,
24,-0.014052971203129937,0.7222408438871938,
25,-0.05320976916458692,0.23882939953565108,
26,-0.09625121679956335,0.03694415962994691,*
27,-0.0209648114988901,0.6135874856307394,
28,0.031170756351335916,0.47859223981403565,
29,0.012581020876949735,0.7582794016146065,
30,-0.09170708612324142,0.04058473223680843,*
31,0.0695009593787307,0.13244120037485546,
32,0.023147028188644184,0.5690717533003474,
33,-0.0349364257830234,0.422891638976839,
34,-0.12478574376229967,0.00771758259334725,**
35,-0.04125744307837414,0.3551279959012563,
36,0.0,0.9841801381066887,
37,0.060318389565582456,0.18856005632212236,
38,0.040813219969798496,0.35885345683226244,
39,0.10444260412749297,0.023837053489672026,*
40,-0.035180266914081444,0.4171545653280495,
41,0.035557152069139335,0.417959128704532,
42,0.06783659018884089,0.14357713492307106,
43,0.09259644846575435,0.041842028669328304,*
44,-0.009597903759288444,0.7989772626436173,
45,-0.0034751513946295488,0.8920354106262469,
46,0.029016397206214194,0.5218039956488103,
47,0.03746249745750547,0.4018369571178646,
48,-0.05733855199116199,0.20468230500620122,
49,-0.026914386560640918,0.5207361158014524,
50,-0.016754957819354443,0.6843943603159495,
51,0.02599154513113117,0.5539214349238208,
52,0.039940278638621596,0.3561746861378996,
53,-0.004845952406302465,0.889988779976462,
54,0.04440304932937669,0.31842630874126054,
55,-0.009969780341149545,0.7874667675631357,
56,0.02098100863777877,0.6156651635650587,
57,-0.07520977580241323,0.10049988933931052,
58,-0.040568798450571375,0.3619716561733811,
59,0.08113607067586774,0.08640645822845355,.
60,-0.023266927140646054,0.5826302386355131,
61,-0.05741619417114862,0.20322542454140613,
62,-0.021553609790404635,0.6194576826780334,
63,0.0017518764044660684,0.9204419862664105,
64,-0.038605641139760116,0.3724956876068791,
65,0.10328224303462294,0.026393760978224365,*
66,-0.015290325260864728,0.7119818423893522,
67,0.024735103635347408,0.5616870184297443,
68,0.27135187511860087,6.235709442059689e-09,***
69,-0.10150471158302514,0.02893354551956098,*
70,0.04460568978729274,0.3219741312387441,
71,0.030672600464186926,0.4877841723206885,
72,0.004409068279022525,0.8769894421910349,
73,0.15103952059601278,0.0015656263059762863,**
74,0.08537875865707972,0.06756214282730436,.
75,0.00794298763916833,0.8205196523688688,
76,0.033315000115607334,0.4491874439576876,
77,-0.12377270401672125,0.007604068742286351,**
78,0.014382906386924531,0.7206638023482015,
79,0.0,0.9777801329692177,
80,-0.07110180480280888,0.12600014102794038,
81,-0.020502811460168444,0.6240491124143044,
82,0.00424921596400756,0.8720453592690596,
83,-0.05176322647155499,0.2465337230486947,
84,0.03092570151594796,0.4879819330930887,
85,-0.10238649544942391,0.024726588117210676,*
86,0.018057777791165568,0.6605883764546594,
87,-0.10120944428021957,0.027708382420466207,*
88,0.11334465394913286,0.014355151387575187,*
89,-0.07860778027744857,0.09051790350616247,.
90,0.10723549661566625,0.018145597888669866,*
91,0.028881934715852865,0.4960540794954411,
92,-0.08696431255231804,0.06090884498669593,.
93,0.03211863507263757,0.4697770770285111,
94,0.03410042641864191,0.44558702797542604,
95,0.06087020156121836,0.18677053980696035,
96,-0.05174110806207765,0.2538282880904026,
97,0.07519149652876289,0.09866102650747414,.
98,-0.12600027173667114,0.006521878036868886,**
99,-0.186470138715198,6.807331707858208e-05,***
100,-0.00704051236321871,0.82741577070047,
101,0.12757522314123226,0.004983353303385231,**
102,0.04342931856370811,0.3202013607188331,
103,0.08518579521204253,0.06107170398879122,.
104,0.09993870162525519,0.033234392253221,*
105,-0.019307764686437003,0.649375322783493,
106,-0.10007526450651033,0.02854438450372237,*
107,-0.09539193767023899,0.040159242467377294,*
108,0.028218774920624762,0.5053084452202123,
109,0.07322254327071141,0.1135220748985738,
110,0.13174791644352918,0.004301343287446313,**
111,0.07789786318579592,0.08525926310073954,.
112,-0.09702125733373909,0.037079701974631014,*
113,-0.06088661517377993,0.20041759561747552,
114,0.047545269401017935,0.294435038370919,
