variable,coefficient,p_values,significance
abl,-0.013779036789988154,0.7606618029248883,
accept,0.30276164874513034,0.000638439282720754,***
accord,0.15762400198179663,0.016689926202842313,*
account,-0.013115511568309526,0.6284747152600618,
accus,0.21705971840182745,0.0025819373150828663,**
across,-0.026053796487183867,0.8435194690819234,
act,0.09557555904935856,0.18200362063852427,
action,0.1726752812870542,0.020476361141422334,*
activ,0.34026304971669896,3.121448341194527e-05,***
actual,0.19617659282973837,0.02346563869291757,*
ad,0.016229355483511006,0.954532339753279,
addit,0.20649031405828047,0.04317628825606571,*
address,0.0007872714830171884,0.848788551297831,
administr,-0.01729542690708517,0.9861699500970373,
agenc,0.06643879609240484,0.4162953122826334,
ago,0.4984821231314504,0.00017638929165615433,***
agre,0.00947218178037144,0.9380664239081509,
aid,-0.12201974118823626,0.2526502502951755,
alli,-0.07740113562920227,0.5200452416487467,
allow,0.05062089200271527,0.5955418937059491,
almost,-0.11038000506894026,0.1392119114209299,
along,0.0,0.8501846959816532,
alreadi,-0.19718202627580622,0.05667223132019706,.
also,-0.15131369130356545,0.13414197245841936,
alway,-0.04364527455825173,0.4308551177025324,
america,0.17711870334457006,0.04408435375666468,*
american,-0.06604864500894711,0.4591449792021647,
among,-0.17074186382880052,0.054631343074244526,.
announc,-0.12322675026433312,0.23388074022468242,
anoth,-0.09713381517327192,0.25156495208864926,
answer,0.034220000634847605,0.7631133744214063,
anti,0.3380582388199135,9.419991326281815e-05,***
anyon,-0.19331123456077143,0.0056378522178166905,**
anyth,0.1449178427065624,0.11549181125374682,
appear,0.03729225383817469,0.6020426945464421,
area,0.031738751529971514,0.6238878224258866,
argu,-0.11418729645481186,0.2729540130524608,
arm,0.27581142079062293,0.0011519616683602798,**
around,0.20968215039615196,0.004678354102068878,**
articl,0.470766349009985,1.0525034065794255e-05,***
ask,0.2412304929597581,0.003708101504327016,**
associ,-0.295628894568676,0.002218318894890176,**
attack,-0.13485580868533334,0.037140612685854904,*
attempt,0.24189435811226087,0.009328300946828808,**
