variable,coefficient,p_values,significance
america,0.002298783415159989,0.939781498375807,
american,0.02156710953574486,0.6551721796262882,
attack,-0.15597343361078592,0.008143807906923642,**
back,0.005549277731339637,0.8828649440873816,
berni,-0.28481402176788095,0.00625580672405922,**
big,-0.14904137313678661,0.03718245693212058,*
bill,-0.18935602394845147,0.005150075019744901,**
black,0.16835351650152242,0.006307605833079902,**
break,0.40749224782460897,2.9785835541694694e-05,***
bush,-0.3119942906121154,0.00089744829107502,***
call,0.08111745071475845,0.15952168343429085,
campaign,-0.1413988354286066,0.007824287964374038,**
candid,-0.20170474593746043,0.01369816918346571,*
chang,-0.06413637567676063,0.283215790869089,
clinton,-0.04518008888579027,0.3540638785600836,
comment,0.5719149439810142,1.722893727187495e-08,***
could,-0.044141731909644016,0.45418994670018864,
court,-0.025456655627955474,0.7596100694200631,
cruz,-1.0362121246698837,0.9995677813801772,
day,0.2890298495548307,7.399114417368215e-05,***
deal,-0.1507401716736659,0.03814624034595693,*
debat,-0.4866368845752288,3.6150908658893525e-06,***
democrat,-0.042558957627297334,0.4659511913913399,
donald,0.04655031824197265,0.4747107639738961,
donald trump,-0.26456524533835835,0.10862836592698974,
elect,0.1970107847714835,2.875675377563111e-05,***
email,0.08350184069075328,0.1445313209013616,
fbi,0.31955755312187645,7.323316279092848e-06,***
fight,-0.10617380054048756,0.14756387943336824,
first,-0.13424010550975057,0.04107939961331364,*
forc,0.041422727146682777,0.5036726983535817,
get,0.03137047113519379,0.5246225988179204,
go,0.07364077624989704,0.25384170890056235,
gop,-0.5370021681200366,1.5746243915722983e-09,***
hillari,0.4932606328266384,1.7239299377942226e-13,***
hillari clinton,-0.33079491830056484,1.873083295860977e-05,***
hous,-0.15802070572285853,0.08277081962498284,.
investig,0.2147462308865271,0.01521926668964222,*
iran,-0.3524279357400851,3.418859772874495e-05,***
isi,-0.09679535727195973,0.058608966260302243,.
kill,0.13292957057001403,0.024534395205513964,*
like,0.06305219125596459,0.28991998735711144,
make,-0.03371078395612906,0.5016478303420016,
may,-0.061834353976757746,0.31451570455993016,
media,0.0,0.9356961710928434,
nation,0.05059224175818442,0.43472522472733344,
new,-0.07902496116701661,0.06725522174210706,.
news,0.19901982223646955,0.003810226072051586,**
obama,-0.310168685349122,1.0235979889799776e-10,***
obamacar,-0.11445038494046672,0.13141998798793542,
one,0.08856600687239104,0.11830226496631221,
parti,-0.045198399016204586,0.49131719621461223,
paul,-0.05730351777519837,0.37914620569556445,
peopl,0.07565548576672426,0.26070884438985487,
plan,-0.028267861459892494,0.6094136014033713,
polic,-0.10484649228026673,0.07213004189147995,.
polit,-0.0803376539565692,0.15567957640656788,
poll,-0.1741660701611728,0.00872104318366576,**
presid,0.017783700741333272,0.6871118032007383,
presidenti,-0.14390680006526896,0.05028368612695833,.
protest,0.1116232584457481,0.05395051256380442,.
race,-0.17496530014886708,0.03794225402025754,*
report,0.07011732978861895,0.17140685480165152,
republican,-0.30306537298200104,2.090582803552267e-06,***
right,-0.0014952591048308997,0.9574529405597478,
rubio,-0.8792482790585681,0.9996198699633042,
run,-0.20775220712007847,0.005590804065947549,**
russia,0.33821193718432047,8.620177274540948e-08,***
russian,0.27693859918666897,0.0004980703248963597,***
sander,-0.4863307306560048,1.690502699973536e-06,***
say,-0.09228866458207831,0.054694275866283094,.
shoot,-0.29881905470092074,0.000300854885289285,***
show,0.08150664920088856,0.16497368772717547,
state,-0.13537408876797166,0.007484409257136305,**
support,0.10313289789862139,0.07322800953478202,.
suprem,-0.3377068251066826,0.006380856855928516,**
syria,-0.03883975764836914,0.502083140515396,
take,-0.0893492584090177,0.1463626257771092,
terror,-0.17324050406493585,0.013214550747873262,*
thing,-0.09393610447477409,0.21542293223598996,
time,0.14460058502246467,0.012742639889230283,*
top,0.06434939732729256,0.302297809604814,
trump,-0.014728170375306856,0.7029811080225312,
us,0.09669413838744934,0.020495981264724968,*
use,0.10476579566887534,0.12128308332023582,
vote,0.1812369683386274,0.00046370930502669864,***
voter,0.13146305527511304,0.04733917503890728,*
war,0.18492471793667017,0.0023499760879936546,**
white,0.012800684159678548,0.7704347522756432,
white hous,-0.14110387686392792,0.2692160416340591,
wikileak,0.5336874636600845,8.908750228012367e-05,***
win,0.009657013156408087,0.8174284200142106,
world,0.16484585859911888,0.007007821556554427,**
year,0.18190205771411352,0.0013537151294769909,**
